"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","PEN","PIM","GWG","PPG","SHG","ENG","Season","Team"
"Alex Ysasi","D","Fr","21","1","3","4","0.1905","4","8","1","1","0","0","2007-2008","bowdoin"
"Kat Popoff","D","Sr","21","1","3","4","0.1905","13","26","0","1","0","0","2007-2008","bowdoin"
"Julia King","D","Jr","21","1","3","4","0.1905","4","8","0","0","0","0","2007-2008","bowdoin"
"Kristen Cameron","F","Sr","4","1","0","1","0.2500","4","8","0","1","0","0","2007-2008","bowdoin"
"Maria Nicolais","D","So","23","1","0","1","0.0435","8","16","0","0","0","0","2007-2008","bowdoin"
"Chelsea Young","D","Fr","22","0","1","1","0.0455","12","27","0","0","0","0","2007-2008","bowdoin"
"Beth Battin","F","Jr","3","0","1","1","0.3333","2","4","0","0","0","0","2007-2008","bowdoin"
"Emileigh Mercer","G","Jr","11","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","bowdoin"
"Kelly Keebler","G","So","7","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","bowdoin"
"Samantha Schwager","G","So","7","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","bowdoin"
"Melissa Anderson","F","So","31","14","12","26","0.8387","29","58","1","7","0","0","2007-2008","boston-university"
"Gina Kearns","F","Jr","33","8","13","21","0.6364","4","8","1","2","1","0","2007-2008","boston-university"
"Jillian Kirchner","F","Fr","31","5","14","19","0.6129","8","16","0","2","0","0","2007-2008","boston-university"
"Amanda Shaw","D","Jr","32","4","10","14","0.4375","14","28","0","2","0","0","2007-2008","boston-university"
"Julie Poulin","D","Sr","31","3","11","14","0.4516","10","20","0","2","0","0","2007-2008","boston-university"
"Erin Seman","F","Jr","31","6","7","13","0.4194","16","32","1","3","0","0","2007-2008","boston-university"
"Sarah Appleton","D","So","33","5","8","13","0.3939","22","44","1","3","0","0","2007-2008","boston-university"
"Laurel Koller","F","Jr","33","8","4","12","0.3636","6","12","1","3","0","0","2007-2008","boston-university"
"Lauren Cherewyk","F","Fr","32","6","6","12","0.3750","4","8","2","1","0","0","2007-2008","boston-university"
"Caroline Bourdeau","F","Jr","31","6","5","11","0.3548","4","8","2","0","1","1","2007-2008","boston-university"
"Jonnie Bloemers","F","So","33","5","5","10","0.3030","11","22","2","2","0","0","2007-2008","boston-university"
"Holly Lorms","F","Fr","28","3","3","6","0.2143","6","12","1","1","0","0","2007-2008","boston-university"
"Kelley Karnan","F","Jr","32","0","6","6","0.1875","1","2","0","0","0","0","2007-2008","boston-university"
"Sarah Russell","F","Jr","32","1","4","5","0.1563","7","14","0","1","0","0","2007-2008","boston-university"
"Melissa Tetreau","F/D","So","31","2","2","4","0.1290","5","10","0","0","0","0","2007-2008","boston-university"
"Stephanie Armstrong","F","Sr","33","2","2","4","0.1212","1","2","1","0","0","0","2007-2008","boston-university"
"Nicki Wiart","F","Jr","6","2","1","3","0.5000","0","0","0","1","0","0","2007-2008","boston-university"
"Sophie Thornton","D","Jr","17","0","1","1","0.0588","2","4","0","0","0","0","2007-2008","boston-university"
"Caitlin Reddy","D","Jr","31","0","1","1","0.0323","3","6","0","0","0","0","2007-2008","boston-university"
"Jenn Arms","D","So","27","0","1","1","0.0370","3","6","0","0","0","0","2007-2008","boston-university"
"Katie MacKinnon","D","Fr","5","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","boston-university"
"Allyse Wilcox","G","Jr","24","0","0","0","0.0000","3","6","0","0","0","0","2007-2008","boston-university"
"Melissa Haber","G","So","10","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","boston-university"
"Ashley Leichliter","G","So","1","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","boston-university"
"Hayley Moore","F","Sr","29","13","15","28","0.9655","14","28","1","5","0","0","2007-2008","brown"
"Rylee Olewinski","F","Sr","25","7","9","16","0.6400","24","56","0","4","0","0","2007-2008","brown"
"Erica Kromm","D","Fr","29","6","8","14","0.4828","24","48","0","5","0","0","2007-2008","brown"
"Andrea Hunter","F","So","29","5","9","14","0.4828","3","6","1","1","0","0","2007-2008","brown"
"Sasha Van Muyen","F","So","28","3","9","12","0.4286","22","44","0","0","0","0","2007-2008","brown"
"Erin Connors","F","So","28","5","4","9","0.3214","8","16","1","1","0","0","2007-2008","brown"
"Jenny Cedorchuk","D","So","29","2","5","7","0.2414","25","50","0","1","0","0","2007-2008","brown"
"Savannah Smith","F","Jr","29","1","5","6","0.2069","11","22","1","0","0","0","2007-2008","brown"
"Nicole Brown","F","So","27","3","2","5","0.1852","1","2","1","1","0","0","2007-2008","brown"
"Samantha Stortini","D","Fr","29","1","4","5","0.1724","23","46","0","0","0","0","2007-2008","brown"
"Maggie Suprey","F","Fr","29","1","4","5","0.1724","11","22","0","1","0","0","2007-2008","brown"
"Frances Male","F","Jr","29","1","3","4","0.1379","3","6","0","0","0","0","2007-2008","brown"
"Kath Surbey","D","So","27","2","1","3","0.1111","2","4","0","0","0","0","2007-2008","brown"
"Jaclyn Small","D","Fr","28","1","2","3","0.1071","16","32","0","0","0","0","2007-2008","brown"
"Heather Lane","F/D","Sr","29","1","1","2","0.0690","0","0","0","0","0","0","2007-2008","brown"
"Nicole Stock","G","Jr","29","0","1","1","0.0345","2","4","0","0","0","0","2007-2008","brown"
"Elizabeth Denis","F","So","16","0","0","0","0.0000","1","2","0","0","0","0","2007-2008","brown"
"Amanda Asay","F","So","19","0","0","0","0.0000","4","8","0","0","0","0","2007-2008","brown"
"Jenna Dancewicz","F","Fr","26","0","0","0","0.0000","3","6","0","0","0","0","2007-2008","brown"
"Macie Winship","D","Fr","29","0","0","0","0.0000","10","20","0","0","0","0","2007-2008","brown"
"Emilie Bydwell","D","Sr","8","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","brown"
"Julie Ruszala","F","Jr","22","6","3","9","0.4091","4","8","1","2","0","0","2007-2008","buffalo-state"
"Mariah Fairgrieve","D","Fr","22","3","5","8","0.3636","20","40","0","1","0","0","2007-2008","buffalo-state"
"Marissa McMullan","D","Fr","19","5","2","7","0.3684","9","18","3","1","0","0","2007-2008","buffalo-state"
"Melissa Jeckovich","F","Jr","22","5","2","7","0.3182","4","8","1","2","0","0","2007-2008","buffalo-state"
"Kristin Bozek","D","So","22","4","2","6","0.2727","31","62","1","0","1","0","2007-2008","buffalo-state"
"Samantha Simpson","D","Jr","22","0","6","6","0.2727","5","10","0","0","0","0","2007-2008","buffalo-state"
"Jessica Thieme","F","Sr","20","3","2","5","0.2500","3","6","0","0","0","0","2007-2008","buffalo-state"
"Mary Cohen","D","Sr","22","2","3","5","0.2273","13","26","0","1","0","0","2007-2008","buffalo-state"
"Tonya Ford","F","So","22","0","5","5","0.2273","3","6","0","0","0","0","2007-2008","buffalo-state"
"Meghan Herald","F","Jr","14","3","1","4","0.2857","3","6","0","0","0","0","2007-2008","buffalo-state"
"Jackie Blanchard","F","Sr","22","2","2","4","0.1818","1","2","0","0","0","0","2007-2008","buffalo-state"
"Abbey Hubble","F","Fr","20","2","2","4","0.2000","2","4","0","0","0","0","2007-2008","buffalo-state"
"Casey Bull","F","So","22","0","4","4","0.1818","6","12","0","0","0","0","2007-2008","buffalo-state"
"Katie Olejarski","F","Fr","22","0","4","4","0.1818","2","4","0","0","0","0","2007-2008","buffalo-state"
"Amanda Johnston","D","Fr","22","1","2","3","0.1364","15","38","0","0","0","0","2007-2008","buffalo-state"
"Alex Papineau","F","Fr","21","1","2","3","0.1429","11","22","1","0","0","0","2007-2008","buffalo-state"
"Kelsey Truran","D","Jr","14","0","3","3","0.2143","3","17","0","0","0","0","2007-2008","buffalo-state"
"Annemarie Puleo","D","Jr","21","1","1","2","0.0952","6","12","0","1","0","0","2007-2008","buffalo-state"
"Meredith Larsen","G","Sr","1","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","buffalo-state"
"Desiree Berger","D","Sr","20","0","0","0","0.0000","12","24","0","0","0","0","2007-2008","buffalo-state"
"Shannon Anesetti","G","Sr","21","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","buffalo-state"
"Kristilynn Reed","G","Fr","1","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","buffalo-state"
"Allison Papko","F","Fr","23","4","3","7","0.3043","13","26","0","1","0","0","2007-2008","chatham"
"Jacqueline Regan","F","So","22","3","4","7","0.3182","1","2","0","0","0","0","2007-2008","chatham"
"Jennifer Quimby","C","Sr","23","2","3","5","0.2174","13","26","1","0","0","0","2007-2008","chatham"
"Lauren Fishman","F","So","23","3","1","4","0.1739","2","4","0","1","0","0","2007-2008","chatham"
"April Govednik","D","So","9","2","2","4","0.4444","2","4","0","1","0","0","2007-2008","chatham"
"Paige Dunlap","F/D","Fr","23","1","3","4","0.1739","9","18","0","0","0","0","2007-2008","chatham"
"Kelsey LaHue","D","Fr","23","3","0","3","0.1304","25","50","0","1","0","0","2007-2008","chatham"
"Alexis Smith","F","Fr","23","3","0","3","0.1304","26","76","0","0","0","0","2007-2008","chatham"
"Christine Durham","D","So","23","0","3","3","0.1304","26","52","0","0","0","0","2007-2008","chatham"
"Katana Bosetti","D","So","18","0","3","3","0.1667","6","12","0","0","0","0","2007-2008","chatham"
"Krystal Kelly","F","Jr","22","0","2","2","0.0909","8","16","0","0","0","0","2007-2008","chatham"
"Kate Black","F","So","17","1","0","1","0.0588","17","34","0","1","0","0","2007-2008","chatham"
"Erika Derr","F","Jr","23","1","0","1","0.0435","0","0","0","0","0","0","2007-2008","chatham"
"Sara Mayo","F","Jr","7","0","1","1","0.1429","0","0","0","0","0","0","2007-2008","chatham"
"Sarah Wilkie","W","Sr","23","0","1","1","0.0435","1","2","0","0","0","0","2007-2008","chatham"
"Katy Stephen","D","Fr","10","0","0","0","0.0000","1","2","0","0","0","0","2007-2008","chatham"
"Sam Hunt","G","So","7","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","chatham"
