"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","GWG","PPG","SHG","ENG","Season","Team"
"Jessica Pullar","F","Fr","35","4","2","6","0.1714","1","2","0","0","2004-2005","bemidji-state"
"Mandy Bambrough","G","Jr","34","1","4","5","0.1471","0","0","0","0","2004-2005","bemidji-state"
"Aimee Collins","F","Jr","35","3","1","4","0.1143","0","1","0","2","2004-2005","bemidji-state"
"Haley Balcom","D","Fr","35","1","3","4","0.1143","0","0","0","0","2004-2005","bemidji-state"
"Laura Lankton","D","Jr","34","0","2","2","0.0588","0","0","0","0","2004-2005","bemidji-state"
"Nina Ziegenhals","D","So","27","0","2","2","0.0741","0","0","0","0","2004-2005","bemidji-state"
"Ashley Medori","D","Jr","31","1","0","1","0.0323","0","0","0","0","2004-2005","bemidji-state"
"Jenn Sadler","F","So","23","0","1","1","0.0435","0","0","0","0","2004-2005","bemidji-state"
"Jaime LeDuc","F","Fr","32","0","1","1","0.0313","0","0","0","0","2004-2005","bemidji-state"
"Melissa Schaeffer","F/D","Jr","10","0","1","1","0.1000","0","0","0","0","2004-2005","bemidji-state"
"Nicky Kluck","C","Sr","29","0","1","1","0.0345","0","0","0","0","2004-2005","bemidji-state"
"Tamara Price","F","Fr","28","0","0","0","0.0000","0","0","0","0","2004-2005","bemidji-state"
"Emily Brookshaw","G","Fr","22","0","0","0","0.0000","0","0","0","0","2004-2005","bemidji-state"
"Emily Curcuruto","D","Jr","1","0","0","0","0.0000","0","0","0","0","2004-2005","bemidji-state"
"Jill Luebke","G","Jr","20","0","0","0","0.0000","0","0","0","0","2004-2005","bemidji-state"
"Cassi Petsch","F/D","Jr","3","0","0","0","0.0000","0","0","0","0","2004-2005","bemidji-state"
"Stacy Anderson","F","So","26","18","18","36","1.3846","6","6","2","0","2004-2005","augsburg"
"Jocelyn Cookson","F","Jr","24","18","11","29","1.2083","2","5","2","0","2004-2005","augsburg"
"Lauren Chezick","F","Sr","26","8","16","24","0.9231","1","1","0","0","2004-2005","augsburg"
"Melynda Kleewein","D","Sr","26","2","21","23","0.8846","1","0","0","0","2004-2005","augsburg"
"Carrie Velenchenko","F","Sr","26","7","6","13","0.5000","0","1","0","0","2004-2005","augsburg"
"Laura Prasek","D","Sr","26","6","4","10","0.3846","2","5","0","0","2004-2005","augsburg"
"Britt Pennington","D","So","25","4","5","9","0.3600","1","2","1","1","2004-2005","augsburg"
"Corrie Krzyska","F","Sr","26","4","3","7","0.2692","0","2","0","0","2004-2005","augsburg"
"Jenny Schmidt","F","Fr","26","3","3","6","0.2308","0","0","0","0","2004-2005","augsburg"
"Brittney LeBlanc","D","Fr","26","1","5","6","0.2308","0","0","0","0","2004-2005","augsburg"
"Jana Ford","F","Sr","26","2","2","4","0.1538","0","0","0","0","2004-2005","augsburg"
"Jackie Keller","D","Fr","24","1","3","4","0.1667","0","0","0","0","2004-2005","augsburg"
"Katie Medd","F","Fr","26","1","2","3","0.1154","0","0","0","0","2004-2005","augsburg"
"Lenia Burrows","D","So","25","0","1","1","0.0400","0","0","0","0","2004-2005","augsburg"
"Calla Lundquist","D","Jr","26","0","1","1","0.0385","0","0","0","0","2004-2005","augsburg"
"Lexi Cismesia","G","Fr","1","0","0","0","0.0000","0","0","0","0","2004-2005","augsburg"
"Amanda Dowdy","F","Fr","19","0","0","0","0.0000","0","0","0","0","2004-2005","augsburg"
"Ashley Eisele","F","Fr","14","0","0","0","0.0000","0","0","0","0","2004-2005","augsburg"
"Jena Kleis","G","Fr","5","0","0","0","0.0000","0","0","0","0","2004-2005","augsburg"
"Jennilee Moe","F","Fr","25","0","0","0","0.0000","0","0","0","0","2004-2005","augsburg"
"Jodi Heidelberger","F","So","1","0","0","0","0.0000","0","0","0","0","2004-2005","augsburg"
"Katie Johnson","F","Fr","20","0","0","0","0.0000","0","0","0","0","2004-2005","augsburg"
"Amanda Bockmann","G","Fr","17","0","0","0","0.0000","0","0","0","0","2004-2005","augsburg"
"Kristin Johnson","G","Sr","8","0","0","0","0.0000","0","0","0","0","2004-2005","augsburg"
"Heidi Govednik","F/D","Jr","21","11","5","16","0.7619","2","3","0","0","2004-2005","bethel"
"Lisa Kinney","F","Jr","21","8","4","12","0.5714","1","0","0","0","2004-2005","bethel"
"Kim Toter","F","Sr","19","4","3","7","0.3684","1","0","0","0","2004-2005","bethel"
"Tamara Trenter","D","So","21","4","2","6","0.2857","0","0","0","0","2004-2005","bethel"
"Stephanie Williams","F","Sr","20","2","4","6","0.3000","0","0","0","0","2004-2005","bethel"
"Amie Lorence","D","Fr","18","0","5","5","0.2778","0","0","0","0","2004-2005","bethel"
"Elicia Shepard","F","Jr","19","2","2","4","0.2105","1","1","0","0","2004-2005","bethel"
"Anne Gilbertson","F","Jr","18","1","3","4","0.2222","1","0","0","0","2004-2005","bethel"
"Caitlyn Belcher","F","Fr","21","1","3","4","0.1905","0","0","0","0","2004-2005","bethel"
"Amy Beitzel","F","Fr","18","3","0","3","0.1667","0","0","0","0","2004-2005","bethel"
"Hannah Carlson","F","Fr","17","1","1","2","0.1176","0","0","0","0","2004-2005","bethel"
"Jean-Marie Paul","D","So","20","0","2","2","0.1000","0","0","0","0","2004-2005","bethel"
"Amy Stroman","F/D","So","19","0","2","2","0.1053","0","0","0","0","2004-2005","bethel"
"Mary Barton","F","Fr","18","1","0","1","0.0556","0","1","0","0","2004-2005","bethel"
"Kelsie Becklin","D","Fr","14","0","1","1","0.0714","0","0","0","0","2004-2005","bethel"
"Sherah Baumgarten","G","So","1","0","0","0","0.0000","0","0","0","0","2004-2005","bethel"
"Kim Musta","F","Fr","13","0","0","0","0.0000","0","0","0","0","2004-2005","bethel"
"Kelly Moriarty","G","Fr","21","0","0","0","0.0000","0","0","0","0","2004-2005","bethel"
"Kelly McKown","F/D","Fr","4","0","0","0","0.0000","0","0","0","0","2004-2005","bethel"
"Karolyn Evans","D","Fr","9","0","0","0","0.0000","0","0","0","0","2004-2005","bethel"
"Shannon McKown","D","Fr","6","0","0","0","0.0000","0","0","0","0","2004-2005","bethel"
"Cassandra Barton","F","So","21","0","0","0","0.0000","0","0","0","0","2004-2005","bethel"
"Jessica Kuehn","F","So","14","0","0","0","0.0000","0","0","0","0","2004-2005","bethel"
"Tammy Kravik","D","Sr","1","0","0","0","0.0000","0","0","0","0","2004-2005","bethel"
"Deborah Spillane","F","Fr","34","19","16","35","1.0294","1","12","1","0","2004-2005","boston-college"
"Sarah Feldman","F","Fr","34","16","12","28","0.8235","2","8","2","0","2004-2005","boston-college"
"Kerri Sanders","F","Sr","34","7","16","23","0.6765","2","4","0","0","2004-2005","boston-college"
"Colleen Harris","F","Fr","27","9","13","22","0.8148","2","6","0","0","2004-2005","boston-college"
"Cristin Stuart","D","Fr","34","3","8","11","0.3235","0","1","0","0","2004-2005","boston-college"
"Sarah Carlson","D","Sr","34","3","6","9","0.2647","0","0","1","0","2004-2005","boston-college"
"Sarah Courtney","F","Jr","33","6","2","8","0.2424","2","2","0","0","2004-2005","boston-college"
"Jill McInnis","D","Jr","26","2","6","8","0.3077","0","1","0","0","2004-2005","boston-college"
"Krystal Strassman","D","So","30","1","7","8","0.2667","0","1","0","0","2004-2005","boston-college"
"Michelle Lombardi","F","So","33","5","2","7","0.2121","0","4","0","0","2004-2005","boston-college"
"Lee-J Mirasolo","F","Fr","33","2","2","4","0.1212","1","0","0","0","2004-2005","boston-college"
"Nancy Gillis","F","Jr","34","1","3","4","0.1176","0","0","0","0","2004-2005","boston-college"
"Kim Meagher","D","Fr","33","0","4","4","0.1212","0","0","0","0","2004-2005","boston-college"
"Rachel Wedig","D","Fr","32","0","4","4","0.1250","0","0","0","0","2004-2005","boston-college"
"Heidi Seidewand","F","Sr","18","1","2","3","0.1667","0","0","0","0","2004-2005","boston-college"
"Lindsay Wright","F","Fr","32","0","2","2","0.0625","0","0","0","0","2004-2005","boston-college"
"Erin Blood","D","Fr","29","0","2","2","0.0690","0","0","0","0","2004-2005","boston-college"
"Lindsey Bazzone","F","Sr","34","0","1","1","0.0294","0","0","0","0","2004-2005","boston-college"
"Alison Quandt","G","Jr","24","0","0","0","0.0000","0","0","0","0","2004-2005","boston-college"
"Christine Moynihan","G","So","7","0","0","0","0.0000","0","0","0","0","2004-2005","boston-college"
"Lisa Davis","G","Sr","9","0","0","0","0.0000","0","0","0","0","2004-2005","boston-college"
"Jessica Wilson","D","So","26","0","0","0","0.0000","0","0","0","0","2004-2005","boston-college"
"Jessica Link","F","Sr","28","16","12","28","1.0000","2","7","2","0","2004-2005","brown"
"Hayley Moore","F","Fr","32","11","15","26","0.8125","1","3","0","0","2004-2005","brown"
"Kathryn Moos","D","So","29","7","15","22","0.7586","1","0","0","0","2004-2005","brown"
"Keaton Zucker","F","Jr","32","4","14","18","0.5625","0","3","0","0","2004-2005","brown"
"Kerry Nugent","F","Sr","28","8","9","17","0.6071","2","2","0","0","2004-2005","brown"
"Amy McLaughlin","D","Sr","28","5","11","16","0.5714","1","2","0","0","2004-2005","brown"
"Lindsey Glennon","F","Jr","31","6","9","15","0.4839","1","3","0","0","2004-2005","brown"
"Katie Guay","F","Sr","30","3","12","15","0.5000","0","1","0","0","2004-2005","brown"
"Myria Heinhuis","D","Jr","32","6","8","14","0.4375","1","3","0","0","2004-2005","brown"
"Krissy McManus","F","Sr","24","5","7","12","0.5000","3","1","0","0","2004-2005","brown"
"Christine Holdredge","F","So","32","5","5","10","0.3125","1","1","0","0","2004-2005","brown"
"Margaret Ramsay","F","Jr","13","1","7","8","0.6154","0","0","0","0","2004-2005","brown"
"Rylee Olewinski","F","Fr","31","1","5","6","0.1935","0","0","0","0","2004-2005","brown"
"Heather Lane","F/D","Fr","32","3","2","5","0.1563","1","1","0","0","2004-2005","brown"
"Ashlee Drover","D","Jr","26","1","4","5","0.1923","1","1","0","0","2004-2005","brown"
"Ann Brophy","F/D","So","31","0","2","2","0.0645","0","0","0","0","2004-2005","brown"
"Lauren Deeb","D","So","32","0","2","2","0.0625","0","0","0","0","2004-2005","brown"
"Emilie Bydwell","D","Fr","32","1","0","1","0.0313","0","0","0","0","2004-2005","brown"
"Emilie Midtling","F/D","Fr","17","0","0","0","0.0000","0","0","0","0","2004-2005","brown"
"Larissa Ezzio","F","Jr","22","0","0","0","0.0000","0","0","0","0","2004-2005","brown"
"Stacy Silverman","G","Fr","16","0","0","0","0.0000","0","0","0","0","2004-2005","brown"
"Marie-Pier Desbiens","G","So","6","0","0","0","0.0000","0","0","0","0","2004-2005","brown"
"O'Hara Shipe","G","Fr","17","0","0","0","0.0000","0","0","0","0","2004-2005","brown"
"Meghan Gillis","F","So","26","21","21","42","1.6154","3","5","1","1","2004-2005","bowdoin"
"Kristen Cameron","F","Fr","26","21","16","37","1.4231","7","1","0","0","2004-2005","bowdoin"
"Marissa O'Neil","F","Sr","26","6","23","29","1.1154","3","0","1","0","2004-2005","bowdoin"
"Jayme Woogerd","F","So","26","10","15","25","0.9615","0","0","0","0","2004-2005","bowdoin"
"Lydia Hawkins","D","So","26","8","12","20","0.7692","1","1","0","0","2004-2005","bowdoin"
"Katie Forney","F","So","24","10","8","18","0.7500","1","3","1","0","2004-2005","bowdoin"
"Katie Coyne","F","Fr","26","9","8","17","0.6538","1","3","0","0","2004-2005","bowdoin"
"Cathie Quinlan","D","Sr","26","9","7","16","0.6154","1","2","0","0","2004-2005","bowdoin"
"Kate Leonard","F","So","26","10","5","15","0.5769","2","2","1","0","2004-2005","bowdoin"
"Kelsey Wilcox","F","Jr","26","4","6","10","0.3846","1","1","0","0","2004-2005","bowdoin"
"Caroline Currie","F","Fr","25","4","6","10","0.4000","0","0","0","0","2004-2005","bowdoin"
"Nicki Young","F","Jr","26","0","10","10","0.3846","0","0","0","0","2004-2005","bowdoin"
"Meghan Tanguay","F","So","21","3","5","8","0.3810","0","1","0","0","2004-2005","bowdoin"
"Kat Popoff","D","Fr","26","3","5","8","0.3077","0","0","0","0","2004-2005","bowdoin"
"Brittany Abery","D","Fr","21","2","5","7","0.3333","0","0","0","0","2004-2005","bowdoin"
"Rebecca Selden","D","Jr","26","0","5","5","0.1923","0","0","0","0","2004-2005","bowdoin"
"Courtney Eustace","G","Fr","1","0","0","0","0.0000","0","0","0","0","2004-2005","bowdoin"
"Cat MacEachern","G","Jr","26","0","0","0","0.0000","0","0","0","0","2004-2005","bowdoin"
"Jamie Overbeck","F","So","19","10","9","19","1.0000","1","5","1","0","2004-2005","buffalo-state"
"Mary Cohen","D","Fr","19","7","9","16","0.8421","1","1","1","0","2004-2005","buffalo-state"
"Amanda Uschold","F","Jr","19","3","13","16","0.8421","1","1","0","0","2004-2005","buffalo-state"
"Jessica Thieme","F","Fr","19","7","8","15","0.7895","0","2","1","0","2004-2005","buffalo-state"
"Leah Eyerman","F","Fr","19","1","10","11","0.5789","0","0","0","0","2004-2005","buffalo-state"
"Sarah Kelly","F","Fr","19","5","0","5","0.2632","0","2","0","0","2004-2005","buffalo-state"
"Emily Moore","F","Fr","11","3","2","5","0.4545","0","1","1","0","2004-2005","buffalo-state"
"Jennifer Trees","D","Jr","19","2","3","5","0.2632","0","0","0","0","2004-2005","buffalo-state"
"Jackie Blanchard","F","Fr","19","2","3","5","0.2632","0","0","0","0","2004-2005","buffalo-state"
"Courtney Wagner","D","So","19","3","1","4","0.2105","1","1","0","0","2004-2005","buffalo-state"
"Mal Nutting","D","So","19","0","4","4","0.2105","0","0","0","0","2004-2005","buffalo-state"
"Nicole Jewell","D","Jr","10","2","1","3","0.3000","1","1","0","0","2004-2005","buffalo-state"
"Gina Koch","D","So","7","1","2","3","0.4286","0","0","0","0","2004-2005","buffalo-state"
"Linda Mleczko","D","Fr","19","1","2","3","0.1579","0","1","0","0","2004-2005","buffalo-state"
"Desiree Berger","D","Fr","19","1","2","3","0.1579","0","1","0","0","2004-2005","buffalo-state"
"Kristin Shumway","D","So","9","1","1","2","0.2222","0","0","0","0","2004-2005","buffalo-state"
"Tara Ostempowski","F","Jr","11","1","1","2","0.1818","0","0","0","0","2004-2005","buffalo-state"
"Tami Clayton","F","So","19","0","2","2","0.1053","0","0","0","0","2004-2005","buffalo-state"
"Nicole Bennett","D","Fr","19","0","1","1","0.0526","0","0","0","0","2004-2005","buffalo-state"
"Kimberly Rudler","F","Jr","2","0","0","0","0.0000","0","0","0","0","2004-2005","buffalo-state"
"Shannon Anesetti","G","Fr","11","0","0","0","0.0000","0","0","0","0","2004-2005","buffalo-state"
"Meredith Larsen","G","Fr","6","0","0","0","0.0000","0","0","0","0","2004-2005","buffalo-state"
"Rachel Bennett","G","Jr","3","0","0","0","0.0000","0","0","0","0","2004-2005","buffalo-state"
"Michelle Grecco","C","Fr","10","11","6","17","1.7000","0","1","1","0","2004-2005","chatham"
"Jennifer Quimby","C","Fr","17","7","6","13","0.7647","0","1","1","0","2004-2005","chatham"
"Sarah Wilkie","W","Fr","17","4","2","6","0.3529","0","2","0","0","2004-2005","chatham"
"Sarah Scheckner","F","Jr","17","0","4","4","0.2353","0","0","0","0","2004-2005","chatham"
"Olivia Langguth","D","So","15","1","2","3","0.2000","0","1","0","0","2004-2005","chatham"
"Cassi Birriel","F","Sr","13","1","2","3","0.2308","0","0","0","0","2004-2005","chatham"
"Erika Derr","W","Fr","17","1","2","3","0.1765","0","0","0","0","2004-2005","chatham"
"Alison Seaman","D","Jr","13","0","2","2","0.1538","0","0","0","0","2004-2005","chatham"
"Rena Leone","D","Fr","11","0","2","2","0.1818","0","0","0","0","2004-2005","chatham"
"Sirena Enright","G","So","8","0","1","1","0.1250","0","0","0","0","2004-2005","chatham"
"Christina Kunz","D","So","8","0","0","0","0.0000","0","0","0","0","2004-2005","chatham"
"Lauren Albert","G","Fr","4","0","0","0","0.0000","0","0","0","0","2004-2005","chatham"
"Jen Martin","F/D","Sr","2","0","0","0","0.0000","0","0","0","0","2004-2005","chatham"
"Leena Mullick","G","Fr","6","0","0","0","0.0000","0","0","0","0","2004-2005","chatham"
"Ryann Frye","G","Jr","15","0","0","0","0.0000","0","0","0","0","2004-2005","chatham"
"Abby Greenbaum","F","Fr","25","21","14","35","1.4000","0","4","1","0","2004-2005","castleton"
"Steph Purinton","F","Fr","25","12","15","27","1.0800","1","2","1","0","2004-2005","castleton"
"Danielle Woodruff","F","Jr","16","5","9","14","0.8750","1","0","0","0","2004-2005","castleton"
"Halley Grabarz","F","Jr","25","6","5","11","0.4400","0","1","2","0","2004-2005","castleton"
"Kylie Ammel","F","Jr","12","5","6","11","0.9167","0","0","0","0","2004-2005","castleton"
"Kali Gagne","D","Fr","22","2","7","9","0.4091","0","2","0","0","2004-2005","castleton"
"Marie Nelson","D","Fr","25","0","5","5","0.2000","0","0","0","0","2004-2005","castleton"
"Kate Coniglio","D","Jr","25","0","5","5","0.2000","0","0","0","0","2004-2005","castleton"
"Jen Sheldon","F","So","25","3","0","3","0.1200","1","0","0","0","2004-2005","castleton"
"Cortney Kiewel","F","Fr","19","0","3","3","0.1579","0","0","0","0","2004-2005","castleton"
"Beth Iamondo","D","Fr","23","0","2","2","0.0870","0","0","0","0","2004-2005","castleton"
"Anna Lavenberg","F","So","6","1","0","1","0.1667","0","0","0","0","2004-2005","castleton"
"Erin Butterly","F","Sr","23","0","1","1","0.0435","0","0","0","0","2004-2005","castleton"
"Rachel Dunn","G","Fr","15","0","1","1","0.0667","0","0","0","0","2004-2005","castleton"
"Kalla Robb","G","Fr","15","0","0","0","0.0000","0","0","0","0","2004-2005","castleton"
"Vanessa Carter","G","Fr","8","0","0","0","0.0000","0","0","0","0","2004-2005","castleton"
"Jill Nolan","C","So","36","14","7","21","0.5833","3","3","0","0","2004-2005","clarkson"
"Brooke Beazer","C","Fr","34","9","11","20","0.5882","2","4","0","0","2004-2005","clarkson"
"Katie Morrison","D","Fr","35","7","13","20","0.5714","1","1","0","0","2004-2005","clarkson"
"Ashley Shaidle","LW","So","36","7","10","17","0.4722","0","6","0","0","2004-2005","clarkson"
"Christine Bailkowski","D","So","36","10","6","16","0.4444","0","5","0","0","2004-2005","clarkson"
"Jessica Cloutier","RW","Fr","36","4","11","15","0.4167","2","4","0","0","2004-2005","clarkson"
"Lindsay Williams","LW","So","36","6","7","13","0.3611","2","1","0","0","2004-2005","clarkson"
"Amanda Dittmer","C","Fr","33","1","12","13","0.3939","1","1","0","0","2004-2005","clarkson"
"Emma Madigan","RW","So","36","4","6","10","0.2778","0","0","0","0","2004-2005","clarkson"
"Meghan Park","D","Fr","36","3","6","9","0.2500","0","1","0","0","2004-2005","clarkson"
"Melissa Marshall","LW","So","23","2","2","4","0.1739","0","0","0","0","2004-2005","clarkson"
"Kim Coates","D","So","22","2","1","3","0.1364","0","0","0","0","2004-2005","clarkson"
"Andrea Maluta","D","So","36","1","2","3","0.0833","1","0","0","0","2004-2005","clarkson"
"Lauren Lubrano","D","So","31","0","2","2","0.0645","0","0","0","0","2004-2005","clarkson"
"Christina Valesente","D","So","35","0","2","2","0.0571","0","0","0","0","2004-2005","clarkson"
"Kristi Shaw","C","Sr","32","1","0","1","0.0313","1","0","0","0","2004-2005","clarkson"
"Carolynn Zidek","RW","So","34","0","1","1","0.0294","0","0","0","0","2004-2005","clarkson"
"Kira Hurley","G","So","30","0","0","0","0.0000","0","0","0","0","2004-2005","clarkson"
"Jessica Finley","G","So","2","0","0","0","0.0000","0","0","0","0","2004-2005","clarkson"
"Laura Schnitker","D","Fr","17","0","0","0","0.0000","0","0","0","0","2004-2005","clarkson"
"Stephanie Hansen","G","So","9","0","0","0","0.0000","0","0","0","0","2004-2005","clarkson"
"Rachel Long","F/D","So","9","0","0","0","0.0000","0","0","0","0","2004-2005","clarkson"
"Heather DeVito","F","Sr","21","16","7","23","1.0952","3","6","2","0","2004-2005","colby"
"Michele Barmash","F","Sr","21","5","5","10","0.4762","1","0","1","0","2004-2005","colby"
"Jennifer McAleer","F","So","20","5","5","10","0.5000","0","1","0","0","2004-2005","colby"
"Caitlin Hickey","F","Jr","16","2","6","8","0.5000","0","0","0","0","2004-2005","colby"
"Lauren Goethals","D","Fr","21","2","5","7","0.3333","0","1","0","0","2004-2005","colby"
"Lindsay Tedeschi","F","So","20","2","3","5","0.2500","0","0","0","0","2004-2005","colby"
"Marissa Mullane","D","Fr","21","2","2","4","0.1905","1","1","0","0","2004-2005","colby"
"MaryClaire McGovern","F","Fr","21","1","3","4","0.1905","0","1","0","0","2004-2005","colby"
"Caroline Voyles","D","Fr","17","2","1","3","0.1765","1","0","0","0","2004-2005","colby"
"Mallory Young","D","Sr","21","2","1","3","0.1429","1","2","0","0","2004-2005","colby"
"Meghan Barringer","D","Sr","21","0","3","3","0.1429","0","0","0","0","2004-2005","colby"
"Kristin Putnam","D","Sr","19","1","1","2","0.1053","0","0","0","0","2004-2005","colby"
"Caitlin Leahy","D","Jr","21","0","2","2","0.0952","0","0","0","0","2004-2005","colby"
"Sasha Schroeder","F","Sr","19","0","2","2","0.1053","0","0","0","0","2004-2005","colby"
"Erin Schlossman","D","So","21","0","2","2","0.0952","0","0","0","0","2004-2005","colby"
"Genevieve Triganne","G","Fr","21","0","0","0","0.0000","0","0","0","0","2004-2005","colby"
"Sarah Goodrich","F","Sr","21","0","0","0","0.0000","0","0","0","0","2004-2005","colby"
"Lindsay Barada","F","Jr","12","0","0","0","0.0000","0","0","0","0","2004-2005","colby"
"Margaret Chute","F","Fr","19","0","0","0","0.0000","0","0","0","0","2004-2005","colby"
"Lynn Hasday","G","Sr","2","0","0","0","0.0000","0","0","0","0","2004-2005","colby"
"Victoria Work","D","Fr","11","0","0","0","0.0000","0","0","0","0","2004-2005","colby"
"Amanda Barre","RW","Sr","35","20","19","39","1.1143","6","8","1","1","2004-2005","colgate"
"Becky Irvine","F","Jr","35","14","25","39","1.1143","0","5","1","0","2004-2005","colgate"
"Allison Paiano","F","Jr","33","14","18","32","0.9697","2","5","0","1","2004-2005","colgate"
"Tara French","D","So","35","2","15","17","0.4857","1","0","0","0","2004-2005","colgate"
"Maura Kehoe","C","Sr","35","6","8","14","0.4000","1","0","0","1","2004-2005","colgate"
"Cassie Reid","F","Fr","33","4","10","14","0.4242","2","1","0","0","2004-2005","colgate"
"Cheryl Setchell","C","Sr","35","5","8","13","0.3714","1","1","0","0","2004-2005","colgate"
"Kara Leene","F","Fr","35","5","8","13","0.3714","1","4","0","0","2004-2005","colgate"
"Mallory Johnston","D","Fr","34","3","4","7","0.2059","2","2","0","0","2004-2005","colgate"
"Micki King","D","Jr","34","3","3","6","0.1765","0","3","0","0","2004-2005","colgate"
"Hilary Foord","D","Jr","13","1","3","4","0.3077","0","1","0","0","2004-2005","colgate"
"Kate Wolgemuth","F","Fr","35","0","4","4","0.1143","0","0","0","0","2004-2005","colgate"
"Kristy MacDonald","C","Sr","35","1","2","3","0.0857","0","0","1","0","2004-2005","colgate"
"Kristin Cirbus","RW","Sr","35","1","2","3","0.0857","0","0","0","0","2004-2005","colgate"
"Chelsey Rhodes","D","Sr","29","0","3","3","0.1034","0","0","0","0","2004-2005","colgate"
"Alix Warren","D","So","25","1","1","2","0.0800","0","0","0","0","2004-2005","colgate"
"Ashley Bradford","F","So","26","0","2","2","0.0769","0","0","0","0","2004-2005","colgate"
"Rebecca Lahar","G","Sr","20","0","2","2","0.1000","0","0","0","0","2004-2005","colgate"
"Courtney Sekevitch","F","Fr","12","1","0","1","0.0833","0","0","0","0","2004-2005","colgate"
"Ashley Johnston","F","So","31","1","0","1","0.0323","0","0","0","0","2004-2005","colgate"
"Shelby Nelson","D","Sr","4","0","0","0","0.0000","0","0","0","0","2004-2005","colgate"
"Melanie Barclay","G","Jr","1","0","0","0","0.0000","0","0","0","0","2004-2005","colgate"
"Kara Bachman","D","Jr","3","0","0","0","0.0000","0","0","0","0","2004-2005","colgate"
"Brook Wheeler","G","So","15","0","0","0","0.0000","0","0","0","0","2004-2005","colgate"
"Brittany Briggs","D","Jr","3","0","0","0","0.0000","0","0","0","0","2004-2005","colgate"
"Jaclyn Hawkins","F","Fr","34","25","14","39","1.1471","3","9","1","0","2004-2005","connecticut"
"Tiffany Owens","F","Sr","36","14","17","31","0.8611","2","6","2","1","2004-2005","connecticut"
"Natalie Vibert","D","So","36","8","11","19","0.5278","2","5","0","0","2004-2005","connecticut"
"Shannon Connolly","F","Sr","36","7","12","19","0.5278","0","5","0","0","2004-2005","connecticut"
"Megan McLeod","F","Sr","35","7","11","18","0.5143","2","3","2","0","2004-2005","connecticut"
"Angie Wallace","F","Sr","36","8","5","13","0.3611","3","1","0","1","2004-2005","connecticut"
"Jacquelyn McGuire","F","Sr","35","7","5","12","0.3429","2","5","0","0","2004-2005","connecticut"
"Leslie Hurlburt","F","So","36","4","7","11","0.3056","0","2","0","0","2004-2005","connecticut"
