"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","GWG","PPG","SHG","ENG","Season","Team"
"Allison Edgar","D","Sr","35","9","16","25","0.7143","2","5","1","0","2003-2004","new-hampshire"
"Sadie Wright-Ward","F","Fr","36","10","9","19","0.5278","5","2","0","0","2003-2004","new-hampshire"
"Lindsey Caleo","F","Fr","36","7","11","18","0.5000","1","0","0","0","2003-2004","new-hampshire"
"Janine Goulet","F","Sr","36","3","12","15","0.4167","0","1","0","0","2003-2004","new-hampshire"
"Martine Garland","D","Fr","35","5","7","12","0.3429","2","3","0","0","2003-2004","new-hampshire"
"Jackie Wedster","F","Fr","36","7","3","10","0.2778","0","0","0","0","2003-2004","new-hampshire"
"Debbie Bernhard","F","Sr","33","2","7","9","0.2727","0","0","0","0","2003-2004","new-hampshire"
"Jaime VanMassenhove","F","Sr","36","3","4","7","0.1944","0","1","0","2","2003-2004","new-hampshire"
"Shannon Clement","D","Fr","35","3","2","5","0.1429","0","1","0","0","2003-2004","new-hampshire"
"Melissa Bourdon","G","Fr","26","0","1","1","0.0385","0","0","0","0","2003-2004","new-hampshire"
"Vicki Davis","F","So","6","0","1","1","0.1667","0","0","0","0","2003-2004","new-hampshire"
"Christie Urban","D","Fr","34","0","0","0","0.0000","0","0","0","0","2003-2004","new-hampshire"
"Tracy True","D","So","35","0","0","0","0.0000","0","0","0","0","2003-2004","new-hampshire"
"Brittany Busa","G","Fr","4","0","0","0","0.0000","0","0","0","0","2003-2004","new-hampshire"
"Maghan Grahn","G","So","7","0","0","0","0.0000","0","0","0","0","2003-2004","new-hampshire"
"Cyndy Kenyon","F","So","34","11","13","24","0.7059","2","2","0","1","2003-2004","northeastern"
"Marie Desrosiers","F","Fr","34","8","11","19","0.5588","2","2","1","0","2003-2004","northeastern"
"Amy Goodney","F","Fr","34","12","6","18","0.5294","2","1","0","1","2003-2004","northeastern"
"Theresa Ella","D","So","32","5","11","16","0.5000","2","3","0","1","2003-2004","northeastern"
"Crystal Rochon","F","Fr","33","3","7","10","0.3030","0","1","1","0","2003-2004","northeastern"
"Rachel Bertram","D","So","30","2","6","8","0.2667","1","0","0","0","2003-2004","northeastern"
"Rebecca Peters","D","So","34","0","8","8","0.2353","0","0","0","0","2003-2004","northeastern"
