"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","PEN","PIM","GWG","PPG","SHG","ENG","Season","Team"
"Ashley Drop","G","Fr","4","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","adrian"
"Ashley Chinn","F","Fr","11","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","adrian"
"Emily Wyse","D","","1","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","adrian"
"Kendra Uliana","F","Fr","7","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","adrian"
"Meghan Smerecki","G","So","1","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","adrian"
"Dana Timm","G","Sr","26","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","adrian"
"Ashley Miertl","LW","Fr","8","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","adrian"
"Hannah Griffin","F","Fr","10","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","adrian"
"Geneva Lloyd","D","Fr","28","9","22","31","1.1071","3","6","3","2","0","0","2009-2010","amherst"
"Courtney Hanlon","F","Jr","29","16","14","30","1.0345","10","20","4","5","2","1","2009-2010","amherst"
"Randi Zukas","D","Jr","27","6","24","30","1.1111","8","16","2","4","0","0","2009-2010","amherst"
"Kate Dennett","F","Sr","29","7","18","25","0.8621","11","30","0","4","0","1","2009-2010","amherst"
"Kirsten Dier","D","Sr","26","7","15","22","0.8462","6","12","2","5","0","0","2009-2010","amherst"
"Michelle McGann","F","Sr","29","8","13","21","0.7241","6","12","2","2","0","0","2009-2010","amherst"
"Josie Fisher","F","So","28","9","11","20","0.7143","2","4","3","3","0","0","2009-2010","amherst"
"Emily Vitale","F","So","29","8","12","20","0.6897","5","10","0","2","0","0","2009-2010","amherst"
"Ellen Swiontkowski","F","So","28","4","13","17","0.6071","4","8","1","1","0","0","2009-2010","amherst"
"Stephanie Clegg","D","So","29","10","6","16","0.5517","12","24","1","7","0","0","2009-2010","amherst"
"Megan Curry","F","Jr","29","8","7","15","0.5172","3","6","1","1","0","1","2009-2010","amherst"
"Brittney Evans","F","Jr","28","5","8","13","0.4643","5","10","0","1","0","0","2009-2010","amherst"
"Braidie Campbell","F","Jr","29","4","8","12","0.4138","8","16","2","0","0","0","2009-2010","amherst"
"Alyssa Chwick","D","Sr","29","1","11","12","0.4138","4","8","0","0","0","0","2009-2010","amherst"
"Julia Koch","D","Jr","29","1","9","10","0.3448","4","8","0","0","0","0","2009-2010","amherst"
"Cianna Wyshnytzky","F","Jr","28","4","5","9","0.3214","9","18","1","0","0","0","2009-2010","amherst"
"Molly Malloy","D","Sr","17","6","1","7","0.4118","0","0","0","0","0","0","2009-2010","amherst"
"Megan Doyen","F","Fr","27","4","3","7","0.2593","1","2","1","0","0","0","2009-2010","amherst"
"Kaitlyn McInnis","F","Fr","21","0","3","3","0.1429","1","2","0","0","0","0","2009-2010","amherst"
"Sinead Murphy","G","So","12","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","amherst"
"Caroline Hu","G","Jr","18","0","0","0","0.0000","1","2","0","0","0","0","2009-2010","amherst"
"Jess Olson","F/D","Sr","25","7","3","10","0.4000","17","34","0","2","0","0","2009-2010","augsburg"
"Kali Holst","F","So","25","5","5","10","0.4000","10","20","1","4","0","0","2009-2010","augsburg"
"Andrea Toft","F/D","Sr","23","4","2","6","0.2609","7","14","0","2","0","0","2009-2010","augsburg"
"Sara Toft","F","Sr","25","4","1","5","0.2000","14","28","0","1","0","0","2009-2010","augsburg"
"Erin Leyden","F","Jr","25","2","3","5","0.2000","0","0","0","0","0","0","2009-2010","augsburg"
"Devon Ellena","F","Fr","21","0","5","5","0.2381","6","12","0","0","0","0","2009-2010","augsburg"
"Whitney Restemayer","F","Sr","25","2","2","4","0.1600","24","56","0","1","0","0","2009-2010","augsburg"
"Jessica Larkin","F","Fr","25","1","3","4","0.1600","2","4","0","0","0","0","2009-2010","augsburg"
"Jenna Knudtson","F","Jr","25","1","3","4","0.1600","2","4","0","0","0","0","2009-2010","augsburg"
"Kressi Lehn","F","Fr","25","0","4","4","0.1600","7","17","0","0","0","0","2009-2010","augsburg"
"Jeanna Dudley","D","Fr","22","1","2","3","0.1364","8","16","0","0","0","0","2009-2010","augsburg"
"Erica Berthold","D/F","Fr","19","1","2","3","0.1579","1","2","0","0","0","0","2009-2010","augsburg"
"Katie Lamirande","D","Fr","12","2","0","2","0.1667","2","4","1","1","0","0","2009-2010","augsburg"
"Elise Hedlund","F/D","Jr","25","1","1","2","0.0800","2","4","0","0","0","0","2009-2010","augsburg"
"Whitney Pratt","D/F","Jr","11","1","1","2","0.1818","1","2","0","0","0","0","2009-2010","augsburg"
"Sandra Hinz","D","Fr","16","1","1","2","0.1250","7","14","0","1","0","0","2009-2010","augsburg"
"Abbie Hawthorne","F","Fr","18","1","0","1","0.0556","1","2","0","0","0","0","2009-2010","augsburg"
"Brya Erickson","D","Jr","18","0","1","1","0.0556","9","18","0","0","0","0","2009-2010","augsburg"
"Amy Wenzel","F","Fr","2","0","1","1","0.5000","0","0","0","0","0","0","2009-2010","augsburg"
"Toni Menth","G","Sr","21","0","0","0","0.0000","2","4","0","0","0","0","2009-2010","augsburg"
"Hillary Volkman","F/D","Jr","6","0","0","0","0.0000","2","4","0","0","0","0","2009-2010","augsburg"
"Jess Geisinger","D","Fr","13","0","0","0","0.0000","7","14","0","0","0","0","2009-2010","augsburg"
"Carly Facchini","F","Jr","10","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","augsburg"
"Grace Edgar","G","Jr","6","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","augsburg"
"Carissa Miller","F","Fr","13","0","0","0","0.0000","2","4","0","0","0","0","2009-2010","augsburg"
"Allix Bell","D","Fr","8","0","0","0","0.0000","3","6","0","0","0","0","2009-2010","augsburg"
"Erin Cody","F","Jr","38","20","13","33","0.8684","14","28","1","5","0","1","2009-2010","bemidji-state"
"Annie Bauerfeld","F","Jr","38","9","18","27","0.7105","8","16","1","3","0","0","2009-2010","bemidji-state"
"Montana Vichorek","D","So","38","5","12","17","0.4474","13","48","2","2","0","0","2009-2010","bemidji-state"
"Emily Erickson","F","So","38","6","9","15","0.3947","0","0","1","1","0","0","2009-2010","bemidji-state"
"Frances Dorr","F","Sr","38","4","10","14","0.3684","5","10","0","1","0","0","2009-2010","bemidji-state"
"Erika Wheelhouse","D","Fr","38","0","14","14","0.3684","4","8","0","0","0","0","2009-2010","bemidji-state"
"Erin Johnson","F","Jr","18","6","5","11","0.6111","19","38","3","2","0","1","2009-2010","bemidji-state"
"Sadie Lundquist","F","Fr","38","2","8","10","0.2632","12","24","1","0","0","0","2009-2010","bemidji-state"
"Keirstin Visser","D","Fr","38","3","3","6","0.1579","21","42","1","2","0","0","2009-2010","bemidji-state"
"Marlee Wheelhouse","D/F","So","38","0","6","6","0.1579","11","22","0","0","0","0","2009-2010","bemidji-state"
"Mackenzie Thurston","F","Fr","38","2","2","4","0.1053","4","8","0","0","0","0","2009-2010","bemidji-state"
"Kimberly Lieder","F/D","So","35","0","4","4","0.1143","9","18","0","0","0","0","2009-2010","bemidji-state"
"Jamie Hatheway","F","Fr","27","2","0","2","0.0741","4","8","1","0","0","0","2009-2010","bemidji-state"
"Jackie Robertson","D","Sr","38","1","1","2","0.0526","16","35","0","0","0","0","2009-2010","bemidji-state"
"Lexy Parenteau","D","Jr","36","0","1","1","0.0278","5","10","0","0","0","0","2009-2010","bemidji-state"
"Alana McElhinney","G","So","13","0","1","1","0.0769","3","6","0","0","0","0","2009-2010","bemidji-state"
"Erin Babineau","F","So","26","0","1","1","0.0385","5","10","0","0","0","0","2009-2010","bemidji-state"
"Nicole Rawlings","F","Sr","17","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","bemidji-state"
"Lauren Williams","F","So","33","0","0","0","0.0000","9","18","0","0","0","0","2009-2010","bemidji-state"
"Hayley Williams","F","So","16","0","0","0","0.0000","4","8","0","0","0","0","2009-2010","bemidji-state"
"Kaylee Keys","F","So","15","0","0","0","0.0000","10","20","0","0","0","0","2009-2010","bemidji-state"
"Zuzana Tomcikova","G","So","26","0","0","0","0.0000","1","2","0","0","0","0","2009-2010","bemidji-state"
"Molly Arola","F","Fr","24","0","0","0","0.0000","1","2","0","0","0","0","2009-2010","bemidji-state"
"Allie Thunstrom","F","Sr","35","22","7","29","0.8286","8","16","3","3","0","1","2009-2010","boston-college"
"Ashley Motherwell","F","Fr","35","5","14","19","0.5429","12","24","1","2","0","0","2009-2010","boston-college"
"Mary Restuccia","F","So","32","9","9","18","0.5625","31","73","0","3","1","1","2009-2010","boston-college"
"Danielle Welch","C","So","35","9","5","14","0.4000","13","37","3","2","0","0","2009-2010","boston-college"
"Blake Bolden","D","Fr","29","4","9","13","0.4483","0","0","0","2","0","0","2009-2010","boston-college"
"Caitlin Walsh","F","Fr","35","6","6","12","0.3429","22","44","0","3","0","0","2009-2010","boston-college"
"Kristina Brown","F","Fr","34","5","5","10","0.2941","10","20","1","0","0","0","2009-2010","boston-college"
"Shannon Webster","F","Sr","35","2","6","8","0.2286","7","14","0","0","0","0","2009-2010","boston-college"
"Alison Szlosek","LW","So","35","1","6","7","0.2000","12","24","0","0","0","0","2009-2010","boston-college"
"Katelyn Kurth","D","Jr","35","0","5","5","0.1429","18","36","0","0","0","0","2009-2010","boston-college"
"Dru Burns","D","Fr","35","0","4","4","0.1143","9","18","0","0","0","0","2009-2010","boston-college"
"Laura Hart","F","Jr","35","1","2","3","0.0857","5","10","0","0","0","0","2009-2010","boston-college"
"Kristin Regan","D","So","35","0","2","2","0.0571","9","18","0","0","0","0","2009-2010","boston-college"
"Andrea Green","F","So","35","0","2","2","0.0571","15","46","0","0","0","0","2009-2010","boston-college"
"Corinne Boyles","G","Fr","24","0","1","1","0.0417","0","0","0","0","0","0","2009-2010","boston-college"
"Tracy Johnson","D","Sr","35","0","1","1","0.0286","15","30","0","0","0","0","2009-2010","boston-college"
"Elizabeth Olchowski","F","Fr","35","0","0","0","0.0000","1","2","0","0","0","0","2009-2010","boston-college"
"Kiera Kingston","G","So","14","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","boston-college"
"Allison Papko","F","Jr","24","7","5","12","0.5000","4","8","1","1","0","0","2009-2010","bethel"
"Kassy Sullivan","F","Jr","24","7","4","11","0.4583","13","26","2","3","0","0","2009-2010","bethel"
"Sarah Kartak","F","Fr","24","6","5","11","0.4583","5","21","2","4","0","0","2009-2010","bethel"
"Paige Lemieux","D","So","24","4","6","10","0.4167","8","16","2","1","0","0","2009-2010","bethel"
"Hillary Hartwig","F","Fr","22","3","5","8","0.3636","8","16","0","1","1","0","2009-2010","bethel"
"Anna Carlson","D","So","24","1","7","8","0.3333","13","26","0","0","0","0","2009-2010","bethel"
"Molly Eagles","D","Fr","24","2","5","7","0.2917","6","12","1","2","0","0","2009-2010","bethel"
"Rachael Geng","D","So","23","2","4","6","0.2609","11","22","0","1","0","0","2009-2010","bethel"
"Biz Huss","F","Fr","21","2","3","5","0.2381","7","14","0","1","0","0","2009-2010","bethel"
"Missy Vavra","D","Fr","22","1","3","4","0.1818","8","16","0","0","0","0","2009-2010","bethel"
"Haley Toter","D/F","So","24","1","2","3","0.1250","7","14","0","0","0","0","2009-2010","bethel"
"Kate Wahlin","D","Fr","24","1","2","3","0.1250","13","26","1","1","0","0","2009-2010","bethel"
"Stephanie Van Guilder","D","Jr","23","1","1","2","0.0870","2","4","0","0","0","0","2009-2010","bethel"
"Jenna Bullock","F","Sr","24","1","1","2","0.0833","2","4","0","0","0","0","2009-2010","bethel"
"Cali Miller","F","Fr","23","0","2","2","0.0870","3","6","0","0","0","0","2009-2010","bethel"
"Mia Kramka","D","Fr","14","0","1","1","0.0714","4","8","0","0","0","0","2009-2010","bethel"
"Jenna Dean","F","Fr","9","0","0","0","0.0000","2","4","0","0","0","0","2009-2010","bethel"
"Jess Newstrom","G","Fr","17","0","0","0","0.0000","2","7","0","0","0","0","2009-2010","bethel"
"Nicole Jones","G","So","7","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","bethel"
"Melissa Anderson","F","Sr","37","21","18","39","1.0541","37","82","4","6","2","2","2009-2010","boston-university"
"Lauren Cherewyk","F","Jr","38","12","17","29","0.7632","5","10","5","2","0","0","2009-2010","boston-university"
"Jill Cardella","F","Fr","38","12","15","27","0.7105","11","22","1","1","0","0","2009-2010","boston-university"
"Jillian Kirchner","F","Jr","38","9","17","26","0.6842","12","35","1","5","1","0","2009-2010","boston-university"
"Jenelle Kohanchuk","F","So","27","12","9","21","0.7778","8","16","2","5","0","1","2009-2010","boston-university"
"Tara Watchorn","D","So","31","3","14","17","0.5484","20","43","1","1","0","0","2009-2010","boston-university"
"Holly Lorms","F","Jr","33","7","7","14","0.4242","7","14","0","0","1","1","2009-2010","boston-university"
"Carly Warren","D","So","38","3","11","14","0.3684","14","28","0","2","0","0","2009-2010","boston-university"
"Laurel Koller","F","Sr","38","6","7","13","0.3421","7","14","3","1","1","0","2009-2010","boston-university"
"Kasey Boucher","D","So","38","5","7","12","0.3158","4","8","0","2","0","0","2009-2010","boston-university"
"Jonnie Bloemers","F","Sr","38","4","8","12","0.3158","15","30","0","2","0","0","2009-2010","boston-university"
"Sarah Appleton","D","Sr","38","3","7","10","0.2632","18","36","0","0","0","0","2009-2010","boston-university"
"Kathryn Miller","D","Fr","38","2","3","5","0.1316","9","18","0","1","0","0","2009-2010","boston-university"
"Cristina Wiley","F","Fr","38","1","3","4","0.1053","4","8","0","0","0","0","2009-2010","boston-university"
"Shannon Mahoney","F","Fr","37","1","1","2","0.0541","7","14","0","0","0","0","2009-2010","boston-university"
"Melissa Tetreau","F/D","Sr","34","1","1","2","0.0588","4","8","0","0","0","0","2009-2010","boston-university"
"Britt Hergesheimer","D","Fr","38","1","0","1","0.0263","8","16","0","0","0","0","2009-2010","boston-university"
"Alissa Fromkin","G","Fr","8","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","boston-university"
"Jenn Arms","D","Sr","38","0","0","0","0.0000","2","4","0","0","0","0","2009-2010","boston-university"
"Melissa Haber","G","Sr","32","0","0","0","0.0000","1","2","0","0","0","0","2009-2010","boston-university"
"Samantha Pulley","F","Fr","23","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","boston-university"
"Kayte Holtz","F","Fr","26","15","12","27","1.0385","9","18","2","3","2","1","2009-2010","bowdoin"
"Shelagh Merrill","F","So","26","16","10","26","1.0000","7","14","1","3","1","1","2009-2010","bowdoin"
"Dominique Lozzi","F","So","26","10","16","26","1.0000","0","0","2","3","0","0","2009-2010","bowdoin"
"Jill Campbell","F","Jr","26","8","12","20","0.7692","14","28","0","0","1","0","2009-2010","bowdoin"
"Kim Tess-Wanat","F","Fr","24","8","7","15","0.6250","6","12","1","0","0","0","2009-2010","bowdoin"
"Shana Natelson","D","Sr","26","4","10","14","0.5385","13","26","0","3","0","0","2009-2010","bowdoin"
"Stephanie Ludy","F/D","Fr","26","7","5","12","0.4615","7","14","0","2","1","0","2009-2010","bowdoin"
"Alexandra Chlebeck","F","So","26","5","7","12","0.4615","10","20","2","0","0","0","2009-2010","bowdoin"
"Katherine Pokrass","F","Sr","24","4","7","11","0.4583","4","8","0","0","1","0","2009-2010","bowdoin"
"Alexandra Fahey","F","So","26","2","9","11","0.4231","6","12","0","1","0","0","2009-2010","bowdoin"
"Katie Herter","F","So","26","6","3","9","0.3462","9","18","0","0","0","0","2009-2010","bowdoin"
"Kenzie Novak","F/D","Fr","21","4","5","9","0.4286","4","8","1","0","0","0","2009-2010","bowdoin"
"Kendra Sweet","D","So","25","1","7","8","0.3200","3","6","0","0","0","0","2009-2010","bowdoin"
"Maria Nicolais","D","Sr","26","3","4","7","0.2692","10","20","1","0","0","0","2009-2010","bowdoin"
"Jay Greene","F","Fr","24","0","6","6","0.2500","10","20","0","0","0","0","2009-2010","bowdoin"
"Michaela Calnan","D","Jr","26","2","2","4","0.1538","2","4","1","0","0","0","2009-2010","bowdoin"
"Chelsea Young","D","Jr","25","1","3","4","0.1600","5","10","1","0","0","0","2009-2010","bowdoin"
"Emily Neilson","D","So","21","0","3","3","0.1429","3","6","0","0","0","0","2009-2010","bowdoin"
"Kelly Keebler","G","Sr","1","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","bowdoin"
"Tara Connolly","G","Fr","3","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","bowdoin"
"Kayla Lessard","G","Fr","20","0","0","0","0.0000","1","2","0","0","0","0","2009-2010","bowdoin"
"Sage Santangelo","G","So","6","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","bowdoin"
"Samantha Shane","D","Fr","1","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","bowdoin"
"Kailyn Murray","F","Fr","24","9","7","16","0.6667","3","6","2","6","0","1","2009-2010","buffalo-state"
"Christine Williams","F","So","24","9","6","15","0.6250","3","6","3","1","1","0","2009-2010","buffalo-state"
"Marissa McMullan","F/D","Jr","24","7","6","13","0.5417","12","40","2","3","1","0","2009-2010","buffalo-state"
"Rio Flynn","F","Fr","24","4","8","12","0.5000","0","0","1","1","0","0","2009-2010","buffalo-state"
"Katie Olejarski","F","Jr","24","4","4","8","0.3333","7","14","1","3","0","0","2009-2010","buffalo-state"
"Brianna Murphy","F","So","24","3","4","7","0.2917","12","24","0","1","0","0","2009-2010","buffalo-state"
"Casey Bull","F","Sr","21","2","5","7","0.3333","9","18","0","1","0","0","2009-2010","buffalo-state"
"Lauren Mallo","D","Fr","24","3","3","6","0.2500","27","54","0","1","0","0","2009-2010","buffalo-state"
"Courtney Carnes","F/D","Fr","23","3","2","5","0.2174","13","26","0","1","0","0","2009-2010","buffalo-state"
"Amanda Johnston","D","Jr","24","1","3","4","0.1667","13","26","0","1","0","0","2009-2010","buffalo-state"
"Leah Knott","F","So","23","0","4","4","0.1739","11","22","0","0","0","0","2009-2010","buffalo-state"
"Alanna McMullen","D","Fr","13","0","2","2","0.1538","11","22","0","0","0","0","2009-2010","buffalo-state"
"Jo Ann Scherer","F","Fr","22","1","0","1","0.0455","1","2","0","0","0","0","2009-2010","buffalo-state"
"Kacie Olejarski","F","So","22","0","1","1","0.0455","3","6","0","0","0","0","2009-2010","buffalo-state"
"Caralie Fennessey","F","Fr","23","0","0","0","0.0000","1","2","0","0","0","0","2009-2010","buffalo-state"
"Megan Nervina","F","Jr","24","0","0","0","0.0000","1","2","0","0","0","0","2009-2010","buffalo-state"
"Jess Garland","G","Fr","5","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","buffalo-state"
"Cat McCulle","F","Fr","11","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","buffalo-state"
"Kelly Mendola","G","So","1","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","buffalo-state"
"Alyssa Koniar","G","Jr","22","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","buffalo-state"
"Laurie Jolin","F","Fr","28","5","8","13","0.4643","5","10","2","3","0","0","2009-2010","brown"
"Alena Polenska","D/F","Fr","28","5","5","10","0.3571","6","12","0","0","0","0","2009-2010","brown"
"Erica Kromm","D","Jr","28","3","7","10","0.3571","6","12","0","1","0","0","2009-2010","brown"
"Jenna Dancewicz","F","Jr","28","4","5","9","0.3214","11","22","0","3","0","0","2009-2010","brown"
"Nicole Brown","F","Sr","28","1","7","8","0.2857","14","28","0","0","0","0","2009-2010","brown"
"Sasha Van Muyen","F","Sr","23","6","1","7","0.3043","12","24","0","0","0","1","2009-2010","brown"
"Paige Pyett","D","So","20","1","6","7","0.3500","12","27","0","0","0","0","2009-2010","brown"
"Jacquie Pierri","D","So","28","1","5","6","0.2143","26","52","0","0","0","0","2009-2010","brown"
"Erin Connors","F","Sr","28","3","2","5","0.1786","11","22","1","0","0","0","2009-2010","brown"
"Kath Surbey","F","Sr","28","1","4","5","0.1786","0","0","0","0","0","0","2009-2010","brown"
"Erica Farrer","F","Fr","28","3","1","4","0.1429","19","38","0","0","0","0","2009-2010","brown"
"Victoria Smith","D","Fr","28","1","2","3","0.1071","14","28","0","0","0","0","2009-2010","brown"
"Katelyn Landry","F","So","28","2","0","2","0.0714","3","6","0","0","0","0","2009-2010","brown"
"Kelly Griffin","F","Fr","12","2","0","2","0.1667","3","6","0","0","0","0","2009-2010","brown"
"Vika Mykolenko","F","So","27","1","1","2","0.0741","1","2","0","0","0","0","2009-2010","brown"
"Samantha Stortini","D","Jr","25","1","1","2","0.0800","9","18","0","1","0","0","2009-2010","brown"
"Alex Piersiak","D","Fr","28","0","1","1","0.0357","0","0","0","0","0","0","2009-2010","brown"
"Katie Jamieson","G","Fr","27","0","1","1","0.0370","1","2","0","0","0","0","2009-2010","brown"
"Skyelar Siwak","D","So","2","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","brown"
"Alison Wong","F","So","26","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","brown"
"Joy Joung","G","Jr","3","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","brown"
"Laura Szwed","F","Jr","26","10","6","16","0.6154","10","20","1","4","0","0","2009-2010","castleton"
"Meagan Hulbert","D","So","26","3","6","9","0.3462","7","14","0","2","0","0","2009-2010","castleton"
"Nicole Ruman","F","Fr","26","2","7","9","0.3462","15","30","0","1","0","0","2009-2010","castleton"
"Amy Costa","F","Jr","26","5","3","8","0.3077","22","44","0","3","0","0","2009-2010","castleton"
"Abbey Hewes","F","Fr","26","5","3","8","0.3077","8","16","1","4","0","0","2009-2010","castleton"
"Maryanne Diehm","F","Sr","26","3","5","8","0.3077","7","14","1","1","1","0","2009-2010","castleton"
"Eileen Coyne","D","Fr","26","2","5","7","0.2692","44","99","0","2","0","0","2009-2010","castleton"
"Jade Werger","F","Fr","24","2","4","6","0.2500","14","28","0","1","0","0","2009-2010","castleton"
"Sterling Nelson","F","So","26","2","3","5","0.1923","7","14","0","1","0","0","2009-2010","castleton"
"Christine Newton","D","Fr","26","1","3","4","0.1538","6","12","1","1","0","0","2009-2010","castleton"
"Kaitlin Hayes","D","So","26","0","4","4","0.1538","13","42","0","0","0","0","2009-2010","castleton"
"Charl May","D","Jr","14","1","2","3","0.2143","14","28","0","1","0","0","2009-2010","castleton"
"Denise Cardello","F","Sr","22","2","0","2","0.0909","17","42","0","0","0","0","2009-2010","castleton"
"Kate Gray","F","Jr","13","1","0","1","0.0769","5","10","1","0","0","0","2009-2010","castleton"
"Marisse Lorenz","F","So","23","1","0","1","0.0435","0","0","0","0","0","0","2009-2010","castleton"
"Hanna Martini","F","Fr","24","0","1","1","0.0417","0","0","0","0","0","0","2009-2010","castleton"
"Brittany Pressey","D","Sr","26","0","1","1","0.0385","6","12","0","0","0","0","2009-2010","castleton"
"Katharyn Dembowski","G","Fr","20","0","0","0","0.0000","1","2","0","0","0","0","2009-2010","castleton"
"Amanda Hoy","G","Jr","10","0","0","0","0.0000","2","4","0","0","0","0","2009-2010","castleton"
"Emily Bisson","F","Jr","8","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","castleton"
"Jessica Herrera","D","Fr","23","0","0","0","0.0000","13","26","0","0","0","0","2009-2010","castleton"
"Leah McNaughton","F","So","23","11","12","23","1.0000","5","10","0","0","1","0","2009-2010","chatham"
"Lauren Campbell","D","So","21","11","9","20","0.9524","12","24","3","3","1","0","2009-2010","chatham"
"Dawson Bancroft-Short","F","So","20","10","4","14","0.7000","30","60","1","3","1","1","2009-2010","chatham"
"Sara Forbes","F","So","23","2","7","9","0.3913","14","28","0","0","0","0","2009-2010","chatham"
"Jessica Rattle","D","Fr","21","2","4","6","0.2857","0","0","0","2","0","0","2009-2010","chatham"
"Sydney Williams","F","So","23","2","3","5","0.2174","13","26","0","0","0","0","2009-2010","chatham"
"Paige Dunlap","F","Jr","22","1","4","5","0.2273","6","12","1","0","0","0","2009-2010","chatham"
"Alexis Smith","D","Jr","23","0","5","5","0.2174","16","32","0","0","0","0","2009-2010","chatham"
"Kelsey LaHue","D","Jr","14","2","2","4","0.2857","0","0","0","1","0","0","2009-2010","chatham"
"Alexandra Moffatt","D","So","19","2","1","3","0.1579","17","34","0","0","0","0","2009-2010","chatham"
"Ashley Reid","D","So","23","0","2","2","0.0870","8","16","0","0","0","0","2009-2010","chatham"
"Kaitlin Denton","D","So","16","0","2","2","0.1250","4","8","0","0","0","0","2009-2010","chatham"
"Abby Maier","F","Fr","16","0","2","2","0.1250","4","8","0","0","0","0","2009-2010","chatham"
"Breanne Mercanti","F","So","19","1","0","1","0.0526","5","10","0","0","0","0","2009-2010","chatham"
"Lauren Fishman","F","Sr","2","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","chatham"
"Emily Newby","F","Jr","4","0","0","0","0.0000","5","10","0","0","0","0","2009-2010","chatham"
"Brenn Scott","G","Sr","15","0","0","0","0.0000","1","2","0","0","0","0","2009-2010","chatham"
"Julia Hunter","F","Fr","18","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","chatham"
"Allie Frank","G","Fr","9","0","0","0","0.0000","0","0","0","0","0","0","2009-2010","chatham"
"Dominique Thibault","F","Sr","39","21","19","40","1.0256","14","28","5","5","1","2","2009-2010","clarkson"
"Juana Baribeau","F","So","40","18","19","37","0.9250","25","50","3","3","1","4","2009-2010","clarkson"
"Britney Selina","C","Sr","40","10","26","36","0.9000","9","18","1","4","1","0","2009-2010","clarkson"
"Melissa Waldie","LW","Jr","38","18","12","30","0.7895","5","10","5","10","0","0","2009-2010","clarkson"
"Carlee Eusepi","D","Sr","39","6","13","19","0.4872","6","12","3","4","0","0","2009-2010","clarkson"
"Kali Gillanders","F","So","37","3","10","13","0.3514","19","38","3","0","0","0","2009-2010","clarkson"
"Genevieve Lavoie","RW","Sr","40","3","9","12","0.3000","3","6","0","0","0","0","2009-2010","clarkson"
