"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","PEN","PIM","GWG","PPG","SHG","ENG","Season","Team"
"Liz McLaughlin","D","Fr","10","0","0","0","0.0000","0","0","0","0","0","0","2010-2011","concordia-mn"
"Casey Fiore","G","Jr","2","0","0","0","0.0000","0","0","0","0","0","0","2010-2011","concordia-mn"
"Tracy Skluzacek","G","So","1","0","0","0","0.0000","0","0","0","0","0","0","2010-2011","concordia-mn"
"Sarah Luberda","F","Sr","28","12","20","32","1.1429","3","6","4","2","0","0","2010-2011","concordia-wi"
"Samantha Meuwissen","F","So","28","11","15","26","0.9286","9","18","3","2","0","0","2010-2011","concordia-wi"
"Hilary Christiansen","F","Jr","28","4","19","23","0.8214","10","20","1","1","0","0","2010-2011","concordia-wi"
"Alisha Java","F/D","Sr","28","13","6","19","0.6786","20","40","1","5","0","0","2010-2011","concordia-wi"
"Jaime Athens","F","Sr","25","8","7","15","0.6000","2","4","0","2","0","0","2010-2011","concordia-wi"
"Alyssa Isaackson","F","Jr","23","9","5","14","0.6087","4","8","1","2","1","0","2010-2011","concordia-wi"
"April Forar","F","Sr","26","6","5","11","0.4231","2","4","2","0","0","1","2010-2011","concordia-wi"
"Amber Cmejla","F","Sr","28","2","8","10","0.3571","5","10","0","0","0","0","2010-2011","concordia-wi"
"Steph Boehm","F","Sr","23","4","3","7","0.3043","18","42","0","0","0","0","2010-2011","concordia-wi"
"Sara Cole","D","So","28","3","4","7","0.2500","2","4","0","2","0","0","2010-2011","concordia-wi"
"Sarah Lichtie","F","Sr","26","3","4","7","0.2692","3","6","0","0","0","0","2010-2011","concordia-wi"
"Maxine Blohowiak","D","Fr","25","1","5","6","0.2400","6","12","0","0","0","0","2010-2011","concordia-wi"
"Sarah Hubacher","C","Fr","9","2","2","4","0.4444","1","2","0","0","0","0","2010-2011","concordia-wi"
"Carly Piras","D","So","27","0","4","4","0.1481","5","10","0","0","0","0","2010-2011","concordia-wi"
"MacKenzie Siemans","F/D","Fr","23","2","1","3","0.1304","2","4","0","0","0","0","2010-2011","concordia-wi"
"Laura DeDecker","D","Sr","28","1","2","3","0.1071","5","10","0","0","0","0","2010-2011","concordia-wi"
"Jenny Brown","D","Sr","28","1","2","3","0.1071","11","22","0","0","0","1","2010-2011","concordia-wi"
